session,sestype,sess_code,group_nb,part,dec,g_memb_1,g_memb_2,g_memb_3,g_memb_4,g_memb_5,sess_sub1,sess_sub2,sess_sub3,sess_sub4,sess_sub5,male_1,male_2,male_3,male_4,male_5,age_1,age_2,age_3,age_4,age_5,econ_1,econ_2,econ_3,econ_4,econ_5,ind1,ind2,ind3,ind4,ind5,s1,s2,s3,s4,s5,gr,1st,2nd,3rd,4th,5th,1sti,2ndi,3rdi,4thi,5thi,gri,1st_male,2nd_male,3rd_male,4th_male,5th_male,1st_female,2nd_female,3rd_female,4th_female,5th_female,1st_econ,2nd_econ,3rd_econ,4th_econ,5th_econ,1st_age,2nd_age,3rd_age,4th_age,5th_age
2,IMPERSONAL,080208OD,1,1,1,1,2,3,4,5,2_1,2_2,2_3,2_4,2_5,1,1,1,0,1,21,20,18,18,20,1,0,0,0,0,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.8,0.8,0.8,0.8,0.8,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,19.4,19.4,19.4,19.4,19.4
2,IMPERSONAL,080208OD,1,1,2,1,2,3,4,5,2_1,2_2,2_3,2_4,2_5,1,1,1,0,1,21,20,18,18,20,1,0,0,0,0,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.8,0.8,0.8,0.8,0.8,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,19.4,19.4,19.4,19.4,19.4
2,IMPERSONAL,080208OD,1,1,3,1,2,3,4,5,2_1,2_2,2_3,2_4,2_5,1,1,1,0,1,21,20,18,18,20,1,0,0,0,0,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.8,0.8,0.8,0.8,0.8,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,19.4,19.4,19.4,19.4,19.4
2,IMPERSONAL,080208OD,1,1,4,1,2,3,4,5,2_1,2_2,2_3,2_4,2_5,1,1,1,0,1,21,20,18,18,20,1,0,0,0,0,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.8,0.8,0.8,0.8,0.8,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,19.4,19.4,19.4,19.4,19.4
2,IMPERSONAL,080208OD,1,1,5,1,2,3,4,5,2_1,2_2,2_3,2_4,2_5,1,1,1,0,1,21,20,18,18,20,1,0,0,0,0,,,,,,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0.75,0.75,0.75,0.75,1,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,19.75,19.75,19.75,19.75,18
2,IMPERSONAL,080208OD,1,1,6,1,2,3,4,5,2_1,2_2,2_3,2_4,2_5,1,1,1,0,1,21,20,18,18,20,1,0,0,0,0,,,,,,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0.75,0.75,0.75,0.75,1,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,19.75,19.75,19.75,19.75,18
2,IMPERSONAL,080208OD,1,1,7,1,2,3,4,5,2_1,2_2,2_3,2_4,2_5,1,1,1,0,1,21,20,18,18,20,1,0,0,0,0,,,,,,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0.666666667,0.666666667,0.666666667,0,0,0.333333333,0.333333333,0.333333333,0,0,0.333333333,0.333333333,0.333333333,20,20,19,19,19
2,IMPERSONAL,080208OD,1,1,8,1,2,3,4,5,2_1,2_2,2_3,2_4,2_5,1,1,1,0,1,21,20,18,18,20,1,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.8,0.8,0.8,0.8,0.8,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,19.4,19.4,19.4,19.4,19.4
2,IMPERSONAL,080208OD,1,1,9,1,2,3,4,5,2_1,2_2,2_3,2_4,2_5,1,1,1,0,1,21,20,18,18,20,1,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.8,0.8,0.8,0.8,0.8,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,19.4,19.4,19.4,19.4,19.4
2,IMPERSONAL,080208OD,1,1,10,1,2,3,4,5,2_1,2_2,2_3,2_4,2_5,1,1,1,0,1,21,20,18,18,20,1,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.8,0.8,0.8,0.8,0.8,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,19.4,19.4,19.4,19.4,19.4
