session,sestype,sess_code,group_nb,part,dec_in_part,ind_partner,first_offer,g_memb_1,g_memb_2,g_memb_3,g_memb_4,g_memb_5,sess_sub1,sess_sub2,sess_sub3,sess_sub4,sess_sub5,male_1,male_2,male_3,male_4,male_5,age_1,age_2,age_3,age_4,age_5,econ_1,econ_2,econ_3,econ_4,econ_5,ind_ind_offer_1,ind_ind_offer_2,ind_ind_offer_3,ind_ind_offer_4,ind_ind_offer_5,g_ind_offer_1,g_ind_offer_2,g_ind_offer_3,g_ind_offer_4,g_ind_offer_5,group,1st,2nd,3rd,4th,5th,1st_male,2nd_male,3rd_male,4th_male,5th_male,1st_female,2nd_female,3rd_female,4th_female,5th_female,1st_econ,2nd_econ,3rd_econ,4th_econ,5th_econ,1st_age,2nd_age,3rd_age,4th_age,5th_age,,
2,IMPERSONAL,080208OD,1,1,1,1,10,1,2,3,4,5,2_1,2_2,2_3,2_4,2_5,1,1,1,0,1,21,20,18,18,20,1,0,0,0,0,,,,,,1,8,10,8,10,8,1,8,8,10,10,1,0.5,0.5,1,1,0,0.5,0.5,0,0,1,0,0,0,0,21,19,19,19,19,,
2,IMPERSONAL,080208OD,2,1,1,2,10,6,7,8,9,10,2_6,2_7,2_8,2_9,2_10,0,0,1,0,0,25,20,18,21,21,0,0,1,0,0,,,,,,10,8,10,10,5,10,5,8,10,10,10,0,0,0.333333333,0.333333333,0.333333333,1,1,0.666666667,0.666666667,0.666666667,0,0,0.333333333,0.333333333,0.333333333,21,20,21.33333333,21.33333333,21.33333333,,
2,IMPERSONAL,080208OD,3,1,1,3,10,11,12,13,14,15,2_11,2_12,2_13,2_14,2_15,0,0,1,1,1,21,18,18,18,21,0,0,0,0,1,,,,,,10,10,10,1,10,10,1,10,10,10,10,1,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.25,0.25,0.25,0.25,18,19.5,19.5,19.5,19.5,,
2,IMPERSONAL,080208OD,4,1,1,4,8,16,17,18,19,20,2_16,2_17,2_18,2_19,2_20,0,1,0,0,1,18,18,19,20,34,0,0,0,0,0,,,,,,6,7,8,8,6,6,6,6,7,8,8,0.5,0.5,1,0,0,0.5,0.5,0,1,1,0,0,0,0,0,26,26,18,19.5,19.5,,
2,IMPERSONAL,080208OD,5,1,1,5,10,21,22,23,24,25,2_21,2_22,2_23,2_24,2_25,0,0,0,0,0,19,18,21,18,22,0,0,0,0,0,,,,,,8,0,10,10,10,7,0,8,10,10,10,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,18,19,20.33333333,20.33333333,20.33333333,,
2,IMPERSONAL,080208OD,6,1,1,6,7,26,27,28,29,30,2_26,2_27,2_28,2_29,2_30,0,1,1,1,0,22,19,19,29,19,0,1,0,1,0,,,,,,6,7,10,7,5,7,5,6,7,7,10,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,19,22,24,24,19,,
2,IMPERSONAL,080208OD,1,1,2,2,10,1,2,3,4,5,2_1,2_2,2_3,2_4,2_5,1,1,1,0,1,21,20,18,18,20,1,0,0,0,0,,,,,,1,8,10,8,10,8,1,8,8,10,10,1,0.5,0.5,1,1,0,0.5,0.5,0,0,1,0,0,0,0,21,19,19,19,19,,
2,IMPERSONAL,080208OD,2,1,2,3,10,6,7,8,9,10,2_6,2_7,2_8,2_9,2_10,0,0,1,0,0,25,20,18,21,21,0,0,1,0,0,,,,,,10,9,8,10,5,8,5,8,9,10,10,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,21,18,20,23,23,,
2,IMPERSONAL,080208OD,3,1,2,4,9,11,12,13,14,15,2_11,2_12,2_13,2_14,2_15,0,0,1,1,1,21,18,18,18,21,0,0,0,0,1,,,,,,9,0,6,2,4,6,0,2,4,6,9,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,18,18,21,18,21,,
2,IMPERSONAL,080208OD,4,1,2,5,0,16,17,18,19,20,2_16,2_17,2_18,2_19,2_20,0,1,0,0,1,18,18,19,20,34,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0,0,0,0,0,21.8,21.8,21.8,21.8,21.8,,
