session	phase	dec_in_phase	group_nb	group_id	session_ind	ind_id	ind_partner	first_offer	ind_ind	ind_g	group_dec	ind_ind_norm	ind_g_norm	group_dec_norm	absdiff_group_ind	ind_g_is_1st	ind_g_is_2nd	ind_g_is_3rd	ind_g_is_4th	ind_g_is_5th	pr_ind_g_norm	pr_group_dec_norm	pr_diff_group_ind	pr_i_was_1st	pr_i_was_2nd	pr_i_was_3rd	pr_i_was_4th	pr_i_was_5th	pr_i_was_1st_x_pr_diff_group_ind	pr_i_was_2nd_x_pr_diff_group_ind	pr_i_was_3rd_x_pr_diff_group_ind	pr_i_was_4th_x_pr_diff_group_ind	pr_i_was_5th_x_pr_diff_group_ind
1	1	1	1	111	1	101	1	10		2	0		-8	-10	2	0	0	1	0	0				1	1	1	1	1					
1	1	1	1	111	2	102	1	10		0	0		-10	-10	0	0.5	0.5	0	0	0				1	1	1	1	1					
1	1	1	1	111	3	103	1	10		5	0		-5	-10	5	0	0	0	1	0				1	1	1	1	1					
1	1	1	1	111	4	104	1	10		8	0		-2	-10	8	0	0	0	0	1				1	1	1	1	1					
1	1	1	1	111	5	105	1	10		0	0		-10	-10	0	0.5	0.5	0	0	0				1	1	1	1	1					
1	1	1	2	112	6	106	2	7		6	7		-1	0	1	0.5	0.5	0	0	0				1	1	1	1	1					
1	1	1	2	112	7	107	2	7		7	7		0	0	0	0	0	0.3333333	0.3333333	0.3333333				1	1	1	1	1					
1	1	1	2	112	8	108	2	7		6	7		-1	0	1	0.5	0.5	0	0	0				1	1	1	1	1					
1	1	1	2	112	9	109	2	7		7	7		0	0	0	0	0	0.3333333	0.3333333	0.3333333				1	1	1	1	1					
1	1	1	2	112	10	110	2	7		7	7		0	0	0	0	0	0.3333333	0.3333333	0.3333333				1	1	1	1	1					
1	1	1	3	113	11	111	3	8		10	5		2	-3	5	0	0	0	0	1				1	1	1	1	1					
1	1	1	3	113	12	112	3	8		8	5		0	-3	3	0	0	0	1	0				1	1	1	1	1					
1	1	1	3	113	13	113	3	8		7	5		-1	-3	2	0	0	1	0	0				1	1	1	1	1					
1	1	1	3	113	14	114	3	8		5	5		-3	-3	0	0	1	0	0	0				1	1	1	1	1					
1	1	1	3	113	15	115	3	8		0	5		-8	-3	5	1	0	0	0	0				1	1	1	1	1					
1	1	1	4	114	16	116	4	10		10	10		0	0	0	0	0	0.3333333	0.3333333	0.3333333				1	1	1	1	1					
1	1	1	4	114	17	117	4	10		10	10		0	0	0	0	0	0.3333333	0.3333333	0.3333333				1	1	1	1	1					
1	1	1	4	114	18	118	4	10		10	10		0	0	0	0	0	0.3333333	0.3333333	0.3333333				1	1	1	1	1					
1	1	1	4	114	19	119	4	10		7	10		-3	0	3	0	1	0	0	0				1	1	1	1	1					
1	1	1	4	114	20	120	4	10		0	10		-10	0	10	1	0	0	0	0				1	1	1	1	1					
1	1	2	1	111	1	101	2	6		0	0		-6	-6	0	0.3333333	0.3333333	0.3333333	0	0	-8	-10	-2	0	0	1	0	0	0	0	-2	0	0
1	1	2	1	111	2	102	2	6		0	0		-6	-6	0	0.3333333	0.3333333	0.3333333	0	0	-10	-10	0	1	1	0	0	0	0	0	0	0	0
1	1	2	1	111	3	103	2	6		1	0		-5	-6	1	0	0	0	1	0	-5	-10	-5	0	0	0	1	0	0	0	0	-5	0
1	1	2	1	111	4	104	2	6		9	0		3	-6	9	0	0	0	0	1	-2	-10	-8	0	0	0	0	1	0	0	0	0	-8
1	1	2	1	111	5	105	2	6		0	0		-6	-6	0	0.3333333	0.3333333	0.3333333	0	0	-10	-10	0	1	1	0	0	0	0	0	0	0	0
1	1	2	2	112	6	106	3	10		9	10		-1	0	1	0.5	0.5	0	0	0	-1	0	1	1	1	0	0	0	1	1	0	0	0
1	1	2	2	112	7	107	3	10		10	10		0	0	0	0	0	0.3333333	0.3333333	0.3333333	0	0	0	0	0	1	1	1	0	0	0	0	0
1	1	2	2	112	8	108	3	10		10	10		0	0	0	0	0	0.3333333	0.3333333	0.3333333	-1	0	1	1	1	0	0	0	1	1	0	0	0
1	1	2	2	112	9	109	3	10		9	10		-1	0	1	0.5	0.5	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
1	1	2	2	112	10	110	3	10		10	10		0	0	0	0	0	0.3333333	0.3333333	0.3333333	0	0	0	0	0	1	1	1	0	0	0	0	0
1	1	2	3	113	11	111	4	10		6	1		-4	-9	5	0	0	0	0	1	2	-3	-5	0	0	0	0	1	0	0	0	0	-5
